player_name,normalized_name,player_page_url,discovered_from_url,scraped_at
,sebastian ofner,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124116/Sebastian-Ofner,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,marco trungelliti,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105477/Marco-Trungelliti,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,hamad medjedovic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209098/Hamad-Medjedovic,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,nuno borges,https://www.tennisabstract.com/cgi-bin/player.cgi?p=132686/Nuno-Borges,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,adrian mannarino,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105173/Adrian-Mannarino,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,tomas martin etcheverry,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144869/Tomas-Martin-Etcheverry,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,jack draper,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207733/Jack-Draper,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,cameron norrie,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111815/Cameron-Norrie,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,stan wawrinka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104527/Stan-Wawrinka,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,reilly opelka,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124187/Reilly-Opelka,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,ethan quinn,https://www.tennisabstract.com/cgi-bin/player.cgi?p=210319/Ethan-Quinn,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,jaume munar,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144719/Jaume-Munar,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,rafael jodar,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212588/Rafael-Jodar,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,camilo ugo carabelli,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200116/Camilo-Ugo-Carabelli,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,karen khachanov,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111575/Karen-Khachanov,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,patrick kypson,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200516/Patrick-Kypson,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,quentin halys,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111460/Quentin-Halys,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,alexandre muller,https://www.tennisabstract.com/cgi-bin/player.cgi?p=124186/Alexandre-Muller,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,nikoloz basilashvili,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105932/Nikoloz-Basilashvili,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,miomir kecmanovic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200175/Miomir-Kecmanovic,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,gabriel diallo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209113/Gabriel-Diallo,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,vitaliy sachko,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126964/Vitaliy-Sachko,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,botic van de zandschulp,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122298/Botic-Van-De-Zandschulp,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,marc andrea huesler,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144817/Marc-Andrea-Huesler,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,sumit nagal,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111576/Sumit-Nagal,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,francisco cerundolo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=202103/Francisco-Cerundolo,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,flavio cobolli,https://www.tennisabstract.com/cgi-bin/player.cgi?p=207925/Flavio-Cobolli,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,diego dedura palomero,https://www.tennisabstract.com/cgi-bin/player.cgi?p=212309/Diego-Dedura-Palomero,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,marko topo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209916/Marko-Topo,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,justin engel,https://www.tennisabstract.com/cgi-bin/player.cgi?p=211514/Justin-Engel,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,vit kopriva,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200240/Vit-Kopriva,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,luciano darderi,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209260/Luciano-Darderi,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,tallon griekspoor,https://www.tennisabstract.com/cgi-bin/player.cgi?p=134868/Tallon-Griekspoor,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,denis shapovalov,https://www.tennisabstract.com/cgi-bin/player.cgi?p=133430/Denis-Shapovalov,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,fabian marozsan,https://www.tennisabstract.com/cgi-bin/player.cgi?p=206681/Fabian-Marozsan,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,stefanos tsitsipas,https://www.tennisabstract.com/cgi-bin/player.cgi?p=126774/Stefanos-Tsitsipas,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,marin cilic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105227/Marin-Cilic,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,daniel altmaier,https://www.tennisabstract.com/cgi-bin/player.cgi?p=127157/Daniel-Altmaier,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alex molcan,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144684/Alex-Molcan,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alexander bublik,https://www.tennisabstract.com/cgi-bin/player.cgi?p=122330/Alexander-Bublik,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,alexander zverev,https://www.tennisabstract.com/cgi-bin/player.cgi?p=100644/Alexander-Zverev,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
Zhizhen Zhang,zhizhen zhang,https://www.tennisabstract.com/cgi-bin/player.cgi?p=111190/Zhizhen-Zhang,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
,henry patten,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209851/Henry-Patten,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,marc polmans,https://www.tennisabstract.com/cgi-bin/player.cgi?p=117360/Marc-Polmans,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
