strategy_key,prob_mode,edge_threshold,match_id,date,surface,year,odds_source,prob,market_prob,edge,p1_decimal_odds,full_kelly,kelly_fraction_applied,bet_size,bankroll_before,bankroll_after,pnl,correct
raw_t0.02,raw,0.02,2025-336_6.0,2024-12-31,hard,2024,pinnacle,0.7134625315666199,0.4115226337448559,0.30193989782176395,2.43,0.5130866795153052,0.05,856056.587883522,17121131.75767044,18345292.678343877,1224160.9206734367,1
raw_t0.02,raw,0.02,2025-336_8.0,2024-12-31,hard,2024,pinnacle,0.8085620403289795,0.7407407407407407,0.06782129958823879,1.35,0.261596441268921,0.05,917264.6339171939,18345292.678343877,17428028.044426683,-917264.6339171939,0
raw_t0.02,raw,0.02,2025-339_12.0,2024-12-31,hard,2024,pinnacle,0.814520537853241,0.7633587786259541,0.05116175922728683,1.31,0.2161996922185345,0.05,871401.4022213342,17428028.044426683,17698162.479115296,270134.43468861363,1
raw_t0.02,raw,0.02,2025-429_2.0,2025-01-01,hard,2025,pinnacle,0.5139977335929871,0.352112676056338,0.16188505753664906,2.84,0.2498660670674365,0.05,884908.1239557648,17698162.479115296,16813254.355159532,-884908.1239557648,0
raw_t0.02,raw,0.02,2025-421_61.0,2025-01-01,hard,2025,pinnacle,0.4959799945354461,0.352112676056338,0.1438673184791081,2.84,0.22205607852210166,0.05,840662.7177579766,16813254.355159532,18360073.75583421,1546819.4006746768,1
raw_t0.02,raw,0.02,2025-301_1.0,2025-01-05,hard,2025,pinnacle,0.3397496044635772,0.3174603174603174,0.022289287003259828,3.15,0.032656397237334094,0.016328198618667047,299786.93093863723,18360073.75583421,18060286.824895572,-299786.93093863723,0
raw_t0.02,raw,0.02,2025-301_4.0,2025-01-06,hard,2025,pinnacle,0.8389087915420532,0.8064516129032259,0.032457178638827355,1.24,0.167695422967275,0.05,903014.3412447786,18060286.824895572,18277010.26679432,216723.44189874685,1
raw_t0.02,raw,0.02,2025-301_3.0,2025-01-06,hard,2025,pinnacle,0.0878775715827941,0.0427350427350427,0.045142528847751405,23.4,0.04715782031416883,0.023578910157084416,430951.9830208528,18277010.26679432,17846058.283773467,-430951.9830208528,0
raw_t0.02,raw,0.02,2025-301_6.0,2025-01-06,hard,2025,pinnacle,0.8700617551803589,0.6578947368421053,0.21216701833825358,1.52,0.6201805151425875,0.05,892302.9141886734,17846058.283773467,16953755.369584795,-892302.9141886734,0
raw_t0.02,raw,0.02,2025-8998_1.0,2025-01-06,hard,2025,pinnacle,0.7587581872940063,0.6024096385542169,0.15634854873978943,1.66,0.3932402892546219,0.05,847687.7684792398,16953755.369584795,17513229.296781093,559473.9271962981,1
