prob_mode,edge_threshold,year,bets,wins,total_staked,profit,losses,win_rate,roi_on_staked
fair,0.08,2023,576,268,21886928.459449504,-1127216.553731889,308,0.4652777777777778,-0.0515018156074441
fair,0.08,2024,581,304,77534301.23849274,3239082.789446675,277,0.5232358003442341,0.041776126665324195
fair,0.08,2025,440,224,322089225.01458627,74926011.9301818,216,0.509090909090909,0.2326250185078022
fair,0.1,2022,519,265,1322054.82512726,296741.3302588769,254,0.5105973025048169,0.22445463275724045
fair,0.1,2023,477,217,5129653.7521521645,-239301.25953967636,260,0.4549266247379455,-0.0466505676799875
fair,0.1,2024,475,247,20655650.008414187,1053849.5994097746,228,0.52,0.051019919439982936
fair,0.1,2025,353,177,71081972.91644813,15022098.13089764,176,0.5014164305949008,0.2113348506597455
raw,0.01,2022,1048,542,18349372.07952532,4520479.473769873,506,0.517175572519084,0.24635608532969555
raw,0.01,2023,969,448,103301390.87017867,-3559575.775630094,521,0.46233230134158926,-0.03445815923333983
raw,0.01,2024,1012,533,625051855.2427608,14676173.314239096,479,0.5266798418972332,0.023479929210895773
raw,0.01,2025,719,367,5315745554.440708,1183579714.7802224,352,0.5104311543810849,0.2226554492984478
raw,0.02,2022,968,493,14848340.674799418,3842567.707605883,475,0.5092975206611571,0.2587876848843779
raw,0.02,2023,897,418,90966653.21833993,-2870670.5657399427,479,0.4659977703455964,-0.031557394541598706
raw,0.02,2024,919,485,620191199.3725294,16716265.337249352,434,0.5277475516866159,0.02695340623046864
raw,0.02,2025,677,347,5848953512.834863,1322521386.0437791,330,0.5125553914327917,0.2261124803166338
raw,0.03,2022,895,456,14214900.810122484,3845905.086742606,439,0.5094972067039106,0.2705544792830297
raw,0.03,2023,822,386,87489158.63682823,-2733495.8858945523,436,0.46958637469586373,-0.031243824131872468
raw,0.03,2024,847,441,562321694.1972628,14580061.426667044,406,0.5206611570247934,0.025928328174285857
raw,0.03,2025,619,315,4531782098.902749,1001350698.851402,304,0.5088852988691438,0.22096179317488646
raw,0.04,2022,823,425,24041267.42889121,6928051.012972217,398,0.5164034021871203,0.28817328510087376
raw,0.04,2023,741,348,162263963.74424312,-4862582.327074854,393,0.46963562753036436,-0.029967111704106705
raw,0.04,2024,771,394,680396416.0085571,18438156.64116102,377,0.5110246433203631,0.02709913839541614
raw,0.04,2025,566,287,4634294728.048698,1001716845.5471416,279,0.5070671378091873,0.2161530296043388
raw,0.05,2022,757,389,16671234.014847824,4920049.747542441,368,0.5138705416116248,0.2951221093267913
raw,0.05,2023,679,317,138549768.66118708,-3123876.3495150106,362,0.46686303387334316,-0.02254696185855216
raw,0.05,2024,706,362,556402138.0727861,18240061.03501492,344,0.5127478753541076,0.032782154824553954
raw,0.05,2025,523,265,3546127756.471631,695049426.0288972,258,0.5066921606118547,0.19600236476546626
raw,0.06,2022,695,356,13804745.713734996,4568951.199009689,339,0.5122302158273381,0.3309696023204413
raw,0.06,2023,614,284,108241859.91505726,-3249177.787263857,330,0.46254071661237783,-0.03001775643742308
raw,0.06,2024,627,317,377266242.88511753,10057408.825341757,310,0.5055821371610846,0.026658650263613352
raw,0.06,2025,469,232,1317066770.211226,279409374.0960864,237,0.4946695095948827,0.21214518535857965
raw,0.08,2022,558,280,2082527.5667685326,549092.0415337454,278,0.5017921146953405,0.26366615755573114
raw,0.08,2023,505,229,9425283.975235527,-433132.96459934086,276,0.4534653465346535,-0.04595436760710622
raw,0.08,2024,513,259,37440544.6886078,1526062.3103175957,254,0.5048732943469786,0.04075961829641697
raw,0.08,2025,379,186,127189364.04612158,31337615.776278567,193,0.49076517150395776,0.24638550566944323
raw,0.1,2022,448,226,1215366.9317180424,387730.6630867097,222,0.5044642857142857,0.31902354175344705
raw,0.1,2023,417,181,4797949.331795065,-304707.71914136084,236,0.434052757793765,-0.06350790683055421
