snapshot_date,scraped_at,player_name,official_rank,official_points,age,rankings_source
2026-04-17,2026-04-17T06:12:12Z,Hubert Hurkacz,63,845,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Ugo Carabelli,64,825,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Camilo Ugo Carabelli,64,825,26.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,R. Collignon,65,818,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Raphael Collignon,65,818,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Sonego,66,810,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Lorenzo Sonego,66,810,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Tsitsipas,67,805,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Stefanos Tsitsipas,67,805,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,R. Opelka,68,803,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Reilly Opelka,68,803,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Cerundolo,69,803,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Juan Manuel Cerundolo,69,803,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Duckworth,70,784,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,James Duckworth,70,784,34.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Cazaux,71,777,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Arthur Cazaux,71,777,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Blockx,72,772,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alexander Blockx,72,772,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,K. Majchrzak,73,767,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Kamil Majchrzak,73,767,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Tirante,74,765,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Thiago Agustin Tirante,74,765,25.0,atp_daily_snapshot
