date,year,surface,winner_name,loser_name,winner_odds,loser_odds,odds_source
2025-09-20,2025,hard,musetti l.,prizmic d.,1.4,3.17,pinnacle
2025-09-20,2025,hard,shevchenko a.,mpetshi g.,2.75,1.5,pinnacle
2025-09-21,2025,hard,tabilo a.,o connell c.,1.54,2.67,pinnacle
2025-09-21,2025,hard,nakashima b.,giron m.,1.45,2.98,pinnacle
2025-09-21,2025,hard,musetti l.,basilashvili n.,1.31,3.87,pinnacle
2025-09-21,2025,hard,shevchenko a.,daniel t.,1.85,2.06,pinnacle
2025-09-22,2025,hard,tabilo a.,nakashima b.,2.59,1.56,pinnacle
2025-09-22,2025,hard,musetti l.,shevchenko a.,1.19,5.48,pinnacle
2025-09-23,2025,hard,tabilo a.,musetti l.,3.89,1.3,pinnacle
2025-09-17,2025,hard,tien l.,navone m.,1.6,2.47,pinnacle
2025-09-17,2025,hard,wu y.,mannarino a.,1.83,2.07,pinnacle
2025-09-18,2025,hard,etcheverry t.,dzumhur d.,1.43,3.05,pinnacle
2025-09-18,2025,hard,svrcina d.,berrettini m.,3.37,1.36,pinnacle
2025-09-18,2025,hard,basavareddy n.,cilic m.,1.53,2.61,pinnacle
2025-09-18,2025,hard,zeppieri g.,sun f.,1.21,5.01,pinnacle
2025-09-18,2025,hard,zhang zh.,bu y.,3.19,1.4,pinnacle
2025-09-19,2025,hard,hijikata r.,ugo carabelli c.,1.49,2.8,pinnacle
2025-09-19,2025,hard,korda s.,walton a.,1.53,2.67,pinnacle
2025-09-19,2025,hard,cazaux a.,arnaldi m.,1.94,1.94,pinnacle
2025-09-19,2025,hard,royer v.,kovacevic a.,1.78,2.15,pinnacle
2025-09-19,2025,hard,vukic a.,goffin d.,1.76,2.17,pinnacle
2025-09-20,2025,hard,medvedev d.,basavareddy n.,1.42,3.09,pinnacle
2025-09-20,2025,hard,tien l.,zeppieri g.,1.62,2.42,pinnacle
2025-09-20,2025,hard,moutet c.,cazaux a.,1.85,2.04,pinnacle
2025-09-20,2025,hard,wu y.,korda s.,2.49,1.59,pinnacle
2025-09-20,2025,hard,etcheverry t.,hijikata r.,1.56,2.59,pinnacle
2025-09-20,2025,hard,royer v.,rublev a.,4.03,1.27,pinnacle
2025-09-20,2025,hard,bublik a.,vukic a.,1.34,3.53,pinnacle
2025-09-20,2025,hard,svrcina d.,zhang zh.,2.19,1.75,pinnacle
2025-09-21,2025,hard,moutet c.,etcheverry t.,2.1,1.81,pinnacle
2025-09-21,2025,hard,royer v.,tien l.,2.53,1.58,pinnacle
2025-09-21,2025,hard,wu y.,medvedev d.,3.64,1.33,pinnacle
2025-09-21,2025,hard,bublik a.,svrcina d.,1.33,3.64,pinnacle
2025-09-22,2025,hard,royer v.,moutet c.,2.37,1.65,pinnacle
2025-09-22,2025,hard,bublik a.,wu y.,1.36,3.45,pinnacle
2025-09-23,2025,hard,bublik a.,royer v.,1.28,4.15,pinnacle
2025-09-25,2025,hard,muller a.,khachanov k.,4.49,1.24,pinnacle
2025-09-25,2025,hard,marozsan f.,bonzi b.,1.65,2.36,pinnacle
2025-09-25,2025,hard,atmane t.,zhang zh.,1.58,2.49,pinnacle
2025-09-25,2025,hard,davidovich fokina a.,ugo carabelli c.,1.16,5.97,pinnacle
2025-09-25,2025,hard,sinner j.,cilic m.,1.02,23.11,pinnacle
2025-09-26,2025,hard,mensik j.,kecmanovic m.,1.51,2.73,pinnacle
2025-09-26,2025,hard,cobolli f.,rublev a.,2.96,1.45,pinnacle
2025-09-26,2025,hard,rinderknech a.,goffin d.,1.67,2.2,bet365
2025-09-26,2025,hard,de minaur a.,bu y.,1.22,4.85,pinnacle
2025-09-26,2025,hard,cazaux a.,shang j.,1.89,1.99,pinnacle
